class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
2,0 <= ... <  200 DM,60,existing credits paid back duly till now,education,6288,A61,1  <= ... < 4 years,4,male   : single,none,4,unknown / no property,42,none,for free,1,skilled employee / official,1,none,yes
1,no checking account,24,critical account/  other credits existing (not at this bank),car (used),6842,A65,1  <= ... < 4 years,2,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,46,none,own,2,management/ self-employed/,2,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,car (new),3527,A65,... < 1 year,2,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/,2,"yes, registered under the customers name",yes
1,no checking account,10,existing credits paid back duly till now,car (new),1546,A61,1  <= ... < 4 years,3,male   : single,none,2,real estate,31,none,own,1,unskilled - resident,2,none,no
1,no checking account,24,existing credits paid back duly till now,furniture/equipment,929,A65,4  <= ... < 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,4,critical account/  other credits existing (not at this bank),car (new),1455,A61,4  <= ... < 7 years,2,male   : single,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes
1,... <    0 DM,15,existing credits paid back duly till now,furniture/equipment,1845,A61,... < 1 year,4,female : divorced/separated/married,guarantor,1,if not A121 : building society savings agreement/ life insurance,46,none,rent,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,48,no credits taken/ all credits paid back duly,car (new),8358,A63,... < 1 year,1,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,none,yes
2,... <    0 DM,24,all credits at this bank paid back duly,furniture/equipment,3349,A63,... < 1 year,4,male   : single,none,4,unknown / no property,30,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,car (new),2859,A65,unemployed,4,male   : single,none,4,unknown / no property,38,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,A61,... < 1 year,4,male   : married/widowed,co-applicant,1,if not A121 : building society savings agreement/ life insurance,43,none,own,1,unskilled - resident,2,none,yes
2,no checking account,24,existing credits paid back duly till now,radio/television,3621,A62,.. >= 7 years,2,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",31,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,18,critical account/  other credits existing (not at this bank),business,3590,A61,unemployed,3,male   : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",40,none,own,3,unemployed/ unskilled  - non-resident,2,"yes, registered under the customers name",yes
2,... <    0 DM,36,delay in paying off in the past,business,2145,A61,4  <= ... < 7 years,2,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,24,existing credits paid back duly till now,car (used),4113,A63,... < 1 year,3,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes
2,no checking account,36,existing credits paid back duly till now,furniture/equipment,10974,A61,unemployed,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,12,existing credits paid back duly till now,car (new),1893,A61,1  <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,24,critical account/  other credits existing (not at this bank),radio/television,1231,A64,.. >= 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,57,none,rent,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,30,critical account/  other credits existing (not at this bank),radio/television,3656,A65,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,49,stores,own,2,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,9,critical account/  other credits existing (not at this bank),radio/television,1154,A61,.. >= 7 years,2,male   : single,none,4,real estate,37,none,own,3,unskilled - resident,1,none,yes
2,... <    0 DM,28,existing credits paid back duly till now,car (new),4006,A61,1  <= ... < 4 years,3,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",45,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,A62,.. >= 7 years,4,male   : single,none,4,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes
1,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,1740,A61,.. >= 7 years,2,male   : married/widowed,none,2,real estate,30,none,rent,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,21,delay in paying off in the past,car (new),2353,A61,1  <= ... < 4 years,1,male   : divorced/separated,none,4,if not A121 : building society savings agreement/ life insurance,47,none,own,2,skilled employee / official,1,none,yes
1,no checking account,15,existing credits paid back duly till now,car (new),3556,A65,1  <= ... < 4 years,3,male   : single,none,2,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes
2,no checking account,24,existing credits paid back duly till now,radio/television,2397,A63,.. >= 7 years,3,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,6,existing credits paid back duly till now,repairs,454,A61,... < 1 year,3,male   : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,30,existing credits paid back duly till now,radio/television,1715,A65,1  <= ... < 4 years,4,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,27,critical account/  other credits existing (not at this bank),radio/television,2520,A63,1  <= ... < 4 years,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,2,unskilled - resident,1,none,yes
1,no checking account,15,existing credits paid back duly till now,radio/television,3568,A61,.. >= 7 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",54,bank,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,42,existing credits paid back duly till now,radio/television,7166,A65,4  <= ... < 7 years,2,male   : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,29,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,11,critical account/  other credits existing (not at this bank),car (new),3939,A61,1  <= ... < 4 years,1,male   : single,none,2,real estate,40,none,own,2,unskilled - resident,2,none,yes
1,0 <= ... <  200 DM,15,existing credits paid back duly till now,repairs,1514,A62,1  <= ... < 4 years,4,male   : single,guarantor,2,real estate,22,none,own,1,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,car (new),7393,A61,1  <= ... < 4 years,1,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,43,none,own,1,unskilled - resident,2,none,yes
2,... <    0 DM,24,all credits at this bank paid back duly,car (new),1193,A61,unemployed,1,female : divorced/separated/married,co-applicant,4,unknown / no property,29,none,rent,2,unemployed/ unskilled  - non-resident,1,none,yes
2,... <    0 DM,60,existing credits paid back duly till now,business,7297,A61,.. >= 7 years,4,male   : single,co-applicant,4,unknown / no property,36,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,30,critical account/  other credits existing (not at this bank),radio/television,2831,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1258,A63,1  <= ... < 4 years,3,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",57,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,6,existing credits paid back duly till now,radio/television,753,A61,1  <= ... < 4 years,2,female : divorced/separated/married,guarantor,3,real estate,64,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,18,delay in paying off in the past,business,2427,A65,.. >= 7 years,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,1,none,yes
2,no checking account,24,delay in paying off in the past,car (new),2538,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",47,none,own,2,unskilled - resident,2,none,yes
2,0 <= ... <  200 DM,15,all credits at this bank paid back duly,car (new),1264,A62,1  <= ... < 4 years,2,male   : married/widowed,none,2,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,30,critical account/  other credits existing (not at this bank),furniture/equipment,8386,A61,4  <= ... < 7 years,2,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,49,none,own,1,skilled employee / official,1,none,yes
2,no checking account,48,existing credits paid back duly till now,business,4844,A61,unemployed,3,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",33,bank,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
